# Standard Solar Abundances
# Grevesse & Sauval 1998, SSR, 85, 161
# http://nova.astro.umd.edu/Tlusty2002/solar-abun.html
# log is really log(f_N / f_N(hydrogen)) + 12
#
# Z Atom    f_N     log     f_mass
01 H	1.00E-00	12.00	7.04E-01
02 He	1.00E-01	11.00	2.80E-01
03 Li	1.26E-11	1.10	6.10E-11
04 Be	2.51E-11	1.40	1.58E-10
05 B	5.01E-10	2.7	    3.78E-09
06 C	3.31E-04	8.52	2.78E-03
07 N	8.32E-05	7.92	8.14E-04
08 O	6.76E-04	8.83	7.56E-03
09 F	3.16E-08	4.5	    4.18E-07
10 Ne	1.20E-04	8.08	1.69E-03
11 Na	2.14E-06	6.33	3.43E-05
12 Mg	3.80E-05	7.58	6.45E-04
13 Al	2.95E-06	6.47	5.56E-05
14 Si	3.55E-05	7.55	6.96E-04
15 P	2.82E-07	5.45	6.10E-06
16 S	2.14E-05	7.33	4.79E-04
17 Cl	3.16E-07	5.50	7.83E-06
18 Ar	2.51E-06	6.40	7.01E-05
19 K	1.32E-07	5.12	3.60E-06
20 Ca	2.29E-06	6.36	6.41E-05
21 Sc	1.48E-09	3.17	4.64E-08
22 Ti	1.05E-07	5.02	3.50E-06
23 V	1.00E-08	4.00	3.56E-07
24 Cr	4.68E-07	5.67	1.70E-05
25 Mn	2.45E-07	5.39	9.42E-06
26 Fe	3.16E-05	7.50	1.23E-03
27 Co	8.32E-08	4.92	3.42E-06
28 Ni	1.78E-06	6.25	7.29E-05
29 Cu	1.62E-08	4.21	7.20E-07
30 Zn	3.98E-08	4.60	1.82E-06
